2022/09/13 09:52:09 [emerg] 16120#18744: CreateFile() "E:\2022新版课程\苍穹外卖项目\授课资料\day01\资料\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2022/09/19 14:13:10 [emerg] 6884#1840: CreateFile() "E:\2022新版课程\苍穹外卖项目\授课资料\day01\资料\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2023/03/04 10:52:01 [emerg] 12092#12960: CreateFile() "E:\授课\北京JavaEE就业406期\苍穹外卖项目\资料\day01\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2024/04/24 23:04:13 [emerg] 16560#26116: CreateFile() "E:\BaiduNetdiskDownload\黑马Java项目-苍穹外卖\资料\day01\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2024/04/28 20:34:07 [error] 19832#16528: *28 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/login HTTP/1.1", upstream: "http://[::1]:8080/admin/employee/login", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:41 [error] 19832#16528: *53 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/uun7mlvtqie HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/uun7mlvtqie", host: "localhost"
2024/04/28 20:48:43 [error] 19832#16528: *65 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/logout HTTP/1.1", upstream: "http://[::1]:8080/admin/employee/logout", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:52 [error] 19832#16528: *67 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:52 [error] 19832#16528: *67 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://localhost/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:52 [error] 19832#16528: *69 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:52 [error] 19832#16528: *69 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:53 [error] 19832#16528: *72 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/90qs5ys5ixi HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/90qs5ys5ixi", host: "localhost"
2024/04/28 20:48:53 [error] 19832#16528: *75 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:53 [error] 19832#16528: *75 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:53 [error] 19832#16528: *76 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2024/04/28 20:48:53 [error] 19832#16528: *76 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
